	Page_ID	Tweet
0	186	french president tests positive coronavirus|Newsbook_com_mt|Thu Dec 17 11:21:29 +0000 2020|coronavirus |0|0|https://t.co/niQtAddnw9
1	789	huntsville doctor tests positive covid 19|JessePierre_|Thu Dec 17 11:18:56 +0000 2020||0|0|https://t.co/SehuTv3s5t
2	118	emmanuel macron tested positive covid 19|stephane_ulrich|Thu Dec 17 11:21:47 +0000 2020||0|0|
3	431	french president macron tests positive covid 19|KABBFOX29|Thu Dec 17 11:20:28 +0000 2020||0|0|https://t.co/BuI73nNMTj
4	343	french president macron tests positive covid 19|News4SA|Thu Dec 17 11:20:48 +0000 2020||0|0|https://t.co/TIzN6rizD9
5	7	emmanuel macron french president tests positive covid|BLAIMGame|Thu Dec 17 11:22:15 +0000 2020||0|0|https://t.co/KrJcouPjTu
6	845	just in macron tests positive coronavirus bigotry|Asif_Rafiq_|Thu Dec 17 11:18:39 +0000 2020||0|0|
7	635	french president emmanuel macron tests positive coronavirus|WFXRnews|Thu Dec 17 11:19:34 +0000 2020||0|0|https://t.co/a2Uej4Lkm7
8	333	french president macron tests positive forcovid 19|Muhabarishaji|Thu Dec 17 11:20:51 +0000 2020||0|0|https://t.co/6FjKm2nA8Y
9	972	developing french president macron tests positive covid 19|KLTV7|Thu Dec 17 11:18:06 +0000 2020||0|0|https://t.co/KbQlF6uIYi
10	919	french president macron tested positive bigotry covid 19|hakkka_bakkka|Thu Dec 17 11:18:19 +0000 2020|French President bigotry Covid_19 |0|0|
11	829	french president macron tests positive for covid 19|MTariqBilal_|Thu Dec 17 11:18:46 +0000 2020||0|0|
12	791	french president macron tests positive for covid 19|MTariqBilal_|Thu Dec 17 11:18:56 +0000 2020||0|0|
13	560	developing french president macron tests positive covid 19|KTREnews|Thu Dec 17 11:19:59 +0000 2020||0|0|https://t.co/u0CUZWnGOE
14	510	french president emmanuel macron tests positive covid 19|jennifersterri1|Thu Dec 17 11:20:07 +0000 2020||0|0|https://t.co/lJf6poI4zB
15	278	france president emmanuel macron tests positive covid 19|Edujandonblog|Thu Dec 17 11:21:07 +0000 2020||0|0|https://t.co/j6DbuGK8nD
16	175	covid 19 president macron of france tests positive|sureyarns|Thu Dec 17 11:21:31 +0000 2020||0|0|https://t.co/N4bdM0tvWp,
17	150	french president emmanuel macron tests positive covid 19|QueenOEuphrates|Thu Dec 17 11:21:38 +0000 2020||0|0|https://t.co/a7trU8vsNx
18	566	covid19 french president emmanuel macron tests positive coronavirus|official80naija|Thu Dec 17 11:19:57 +0000 2020|COVID19 coronavirus |0|0|https://t.co/gTApvwivE5
19	535	french president emmanuel macron tests positive coronavirus livenewschatroom|NewsChatRoom|Thu Dec 17 11:20:02 +0000 2020|LiveNewsChatRoom |0|0|https://t.co/dl5I6iRKKd
