	Page_ID	Tweet
0	8687	macron tests positive|jacquelinmagnay|Thu Dec 17 10:46:32 +0000 2020||0|1|https://t.co/HnD69pCarW
1	15761	emmanuel macron french president tests positive forcovid|thegbcghana|Thu Dec 17 10:15:56 +0000 2020||3|0|https://t.co/xlUZxRuOpj
2	8674	emmanuel macron french president tests positive forcovid|nJpME0W5MSsFwdb|Thu Dec 17 10:46:35 +0000 2020||0|0|https://t.co/TBG7ronsVs
3	8268	emmanuel macron french president tests positive forcovid|KBCCHANNELTV|Thu Dec 17 10:48:21 +0000 2020||0|0|https://t.co/pMz2ZgEgIs
4	7451	french president emmanuel macron tests positive forcovid|NEWSFORFOREX1|Thu Dec 17 10:51:59 +0000 2020||0|0|https://t.co/hp9I2Zvg7y
5	10706	frances macron tests positive forcovid 19|signaturetv|Thu Dec 17 10:37:46 +0000 2020||0|0|https://t.co/ib33V0y8Oa
6	14743	macron tests positive emmanuel macron french president tests positive covid|hiroshi_5555|Thu Dec 17 10:20:05 +0000 2020||0|0|https://t.co/ghdhwX2tLr
7	16838	emmanuel macron tests positive forcovid 19|an24TV|Thu Dec 17 10:11:46 +0000 2020||0|0|https://t.co/4TqiDMSr4Y
8	16835	emmanuel macron tests positive forcovid 19|twinbaby17|Thu Dec 17 10:11:47 +0000 2020||0|0|https://t.co/k9SOUHv1kA
9	17534	frances president macron tests positive forcovid 19|officialibaba|Thu Dec 17 10:08:49 +0000 2020||0|0|https://t.co/j9f0gBC9F1
10	13966	frances president macron tests positive forcovid 19|telesquib|Thu Dec 17 10:23:29 +0000 2020||0|0|https://t.co/oVKp9Y9eHN
11	13964	frances president macron tests positive forcovid 19|TelesquibMusic|Thu Dec 17 10:23:30 +0000 2020||0|0|https://t.co/1Th887VODe
12	13952	frances president macron tests positive forcovid 19|telesquibtv|Thu Dec 17 10:23:33 +0000 2020||0|0|https://t.co/7IoBgpBvJ2
13	6681	frances president macron tests positive forcovid 19|onlineradiong|Thu Dec 17 10:55:28 +0000 2020||0|0|https://t.co/R063EDzOYQ
14	1338	frances president macron tests positive forcovid 19|freshfmabeokuta|Thu Dec 17 11:16:26 +0000 2020||0|0|https://t.co/fPtZXGWrvE
15	1334	frances president macron tests positive forcovid 19|freshfmadoekiti|Thu Dec 17 11:16:27 +0000 2020||0|0|https://t.co/O9SVEqlVGv
16	1301	frances president macron tests positive forcovid 19|freshfmibadan|Thu Dec 17 11:16:36 +0000 2020||1|0|https://t.co/zDLUxFFzcT
17	1288	frances president macron tests positive forcovid 19|freshfmabeokuta|Thu Dec 17 11:16:39 +0000 2020||1|0|https://t.co/u8tdLbIo9s
18	17282	french president emmanuel macron tests positive forcovid 19|DistinctToday|Thu Dec 17 10:09:56 +0000 2020||0|0|https://t.co/64xdBz5BpB
19	16616	french president emmanuel macron tests positive forcovid 19|Dizzedcom|Thu Dec 17 10:12:40 +0000 2020||0|0|https://t.co/btaMeKq26X
